"idelem";"tipo_elem";"cod_cent";"nombre";"st_x";"st_y"
5979;495;"45034";"C/. Hermanos García Noblejas - Castillo de Uclés-Castillo de Arévalo";446688.817801725;4475512.20215691
6071;495;"47010";"C/. Arturo Soria - Briviesca-Caleruega";443577.391328265;4481515.37650209
6148;495;"53018";"C/. Emilio Ferrari - Vital Aza-Esteban Collantes";445695.755926504;4476071.18760315
6265;495;"55054";"Av. de los Andes - Mahonia-Mitra";447660.980346048;4478858.21827165
6309;495;"56029";"C/. Mar Adriático - Chiquinquira-Ayacucho";445922.225843256;4480436.3219074
6374;495;"59020";"Av. Badajoz - Martínez Villergas-Torrelaguna";444635.587149862;4477246.35409388
3786;495;"59022";"Av. Badajoz - Torrelaguna-Martínez Villergas";444655.616920307;4477271.26256347
6376;495;"59023";"Av. Badajoz - Martínez Villergas-Salvador de Madariaga";444490.094824713;4477135.66773448
6377;495;"59024";"C/. Salvador de Madariaga - Av. Badajoz-Verdaguer y García";444383.674107609;4477055.46998757
6406;495;"64021";"María Sevilla Odiago - Niza-Av. Canillejas a Vicálvaro";448298.65340652;4476181.17768675
6468;495;"66002";"Av. Arcentales - Av. Arcentales-Pl. Grecia";448760.641219247;4476389.48169045
3698;495;"71021";"C/. Miguel Yuste - Gta. Arcentales-Emilio Muñóz";447353.187367056;4476290.54740173
5207;495;"82007";"C/. Monte de Barbanza - Travesia Gavia Seca-Real Arganda";447556.390508885;4470182.14269754
5222;495;"82403";"Cno. Pozo Tio Raimundo - Cno. Pozo Tio Raimundo E-O(Antes Gr. 1)";444846.290216083;4469652.42860925
4787;495;"25021";"ANTONIO LOPEZ S-N(S.ZACARIAS-MATI.GAYO)";440578.330046561;4471482.03593237
5120;495;"51021";"MU?OZ GRANDES O-E(B.TORRIJOS-CASTROJERIZ";437195.552030183;4471088.75582129
4507;495;"31014";"FRANCOS RODRIGUEZ O-E(POLICIA-STO ANGEL DE LA GUARDA)";439531.480709062;4479065.51613234
7114;495;"31018";"Lope de Haro E-O (Giro Izqda)(Berruguete-Francos Rodriguez)";440394.744325815;4478894.38746231
4532;495;"31054";"VILLAAMIL N-S(CAMINO CHORRILLO-SAN RESTITUTO)";439901.731309707;4479840.53879873
4549;495;"32007";"AV. BETANZOS S-N(RIBADAVIA-CHANTADA)";439737.552933366;4480649.4276322
4550;495;"32008";"CHANTADA E-O(RIBADAVIA-AV. BETANZOS)";439822.919313205;4480704.56809012
4555;495;"32013";"AV. BETANZOS N-S(AV. MONFORTE DE LEMOS-LA BAQEZA)";439750.249445418;4481210.61126942
4505;495;"31012";"FRANCOS RODRIGUEZ O-E (DR.FEDERICO RUBIO-PABLO IGLESIAS)";439683.570327401;4479005.98776284
4060;495;"10012";"Menendez Pelayo N-S - Sainz de Baranda-Puerta Granada";442661.750915466;4474083.3111569
4210;495;"14014";"Meson de Paredes N-S - Miguel Servet-Ronda Valencia";440584.032472443;4473280.55439027
4211;495;"14015";"(AFOROS) Ronda Valencia O-E - Meson de Paredes-Fray Luis Leon";440661.317855736;4473212.05858999
4212;495;"14016";"Ronda Valencia E-O - Meson de Paredes-Gta. Embajadores";440619.045580495;4473206.32514507
4213;495;"14017";"Embajadores S-N - Sebastian Elcano-Gta. Embajadores";440565.774038157;4473050.60113538
10037;495;"14043";"Pº Yeserias O-E - Yeserías-Naves";439988.958192788;4472412.29903795
3671;495;"15003";"(AFOROS) Alcala E-O - Pl. Independencia-Pl. Cibeles";441536.245278302;4474791.17471125
4393;495;"18020";"San Bernardo N-S - Noviciado-Reyes";440098.3339286;4475395.70761332
4394;495;"18021";"(TACTICO) Noviciado O-E - Norte-San Bernardo";440087.622452585;4475442.13188961
4402;495;"18024";"Serrano Jover N-S( Lateral Izquierdo) - Alberto Aguilera-Sta Cruz de Marcenado";439532.070326489;4475953.98577444
5558;495;"61046";"Alfonso XIII E-O - Torpedero Tucumán-Encinas";442877.187665367;4479282.16671396
5675;495;"62062";"General Yagüe O-E - Capitán Haya-PºCastellana";441430.8470999;4478831.94096618
6451;495;"65040";"C/. Andaluces - Av. Rafael Alberti-Av. Pablo Neruda";445689.911538258;4471607.15063655
6460;495;"65053";"C/. Laponia - Laponia-Av. Doctor García Tapia";446843.735790816;4473194.32859766
6461;495;"65057";"C/. Fuente Carrantona - Av. Doctor García Tapia-Mario Cabré";446467.284849674;4473281.85217184
6452;495;"65041";"Av. Moratalaz  - Camimo Vinateros-Av. Doctor García Tapia";445593.720668356;4473583.10118037
6458;495;"65049";"C/. José Bergamin - José Bergamín-Fuente Carrantona";446600.774409448;4473751.37611888
3833;495;"65051";"Av. Doctor García Tapia - M-40-Rabat";447001.663631193;4473278.77429533
6459;495;"65052";"C/. Rabat - Rabat-Av. Doctor García Tapia";446879.614791448;4473390.66355743
4398;495;"18302";"(MICRO) Gta. Ruiz Jimenez E-O(Delante G. 5) - (MICRO) Gta. Ruiz Jimenez E-O(Delante G. 5)";440265.241308595;4475876.66753843
5547;495;"61035";"Principe de Vergara S-N - Concha Espina-Pl.República Ecuador";442668.841708448;4478430.01463825
5575;495;"61064";"Alberto Alcocer E-O - Víctor Andrés Belaunde-Pº de la Habana";442384.376274246;4479097.78758189
4265;495;"97045";"(AFOROS)Gran Vía San Francisco S-N - San Bernabé-Cra.San Francisco";439578.336736723;4473638.68191445
5788;495;"40006";"Av. Buenos Aires - Túnel Av. San Diego-Av. Pablo Neruda";444699.675307279;4470347.93440323
5926;495;"44024";"C/. Alcalá  - Urquiza-Gutierre de Cetina";445308.199902893;4476342.17519792
5930;495;"44032";"C/. Ricardo Ortíz - Ricardo Ortíz- Alcalá";444318.317060881;4475922.50721874
6050;495;"46405";"C/. Arturo Soria - Giro a Torrecilla del Puerto";444829.61221456;4478144.02156103
6051;495;"46406";"C/. Ramírez de Arellano - Agastia-Arturo Soria";444821.672596398;4478111.81132566
6209;495;"54021";"C/. Casalarreina  - Cordovín-Ezcaray";448150.726295784;4473578.93071867
3721;495;"03006";"Joaquin Costa 70 E-O (Velazquez - Gta. Lopez de Hoyos) - (Velazquez - Gta. Lopez de Hoyos)";442266.301569615;4477225.77811778
4164;495;"13016";"Pº Reina Cristina E-O - Jose Anselmo Clave-Alfonso XII";441791.574140298;4473322.49546809
4467;495;"22302";"(MICRO) Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5) - (MICRO) Pl. San Juan de la Cruz S-O(Delante G.13) (P.M.5)";441428.955213334;4477138.65131026
5544;495;"61032";"Principe de Vergara N-S - Pl.Perú-Pl.República Dominicana";442736.320904148;4479232.80389013
6410;495;"64025";"C/. Aquitania - Toscana-Av. Canillejas a Vicálvaro";448182.338014766;4474861.60518589
4804;495;"25039";"AV. ANDALUCIA S-N (LATERAL)";441133.377336133;4469789.91605013
5969;495;"45023";"C/. Aquitania - Pl. Alsacia-Capri";447325.953281319;4474464.98932544
